,Hotel,Point,Country,member,Room type,Date,Review Title,Review Contents
10,하버 호텔 제주 (Harbor Hotel Jeju),9.6,jungha (대한민국),커플/2인 여행객,스탠다드 트윈,2020년 4월 | 1박,최고,['추자도에 가려고 예약한 호텔입니다 청결상태도 아주 좋고 (마루바닥) 물 수압이 세서 아주 만족스러웠습니다 아침 조식은 간단한 빵 조식인데 깔끔하고 단정해서 기분좋게 든든히 먹을수 있었습니다 유럽에 가족호텔 같은 느낌의 조식당이었어요 심플하고 간단한... 며칠뒤에 제주항에서 출발하는 추자도 올레길 여행에 재예약하려 합니다 근처 인근레 편의점 식당 걸고루 있습니다']
11,하버 호텔 제주 (Harbor Hotel Jeju),10.0,KYOUNG (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2022년 5월 | 1박,여행 마지막 날 편하게 쉬었다 갑니다.,['새벽 비행기라 마지막날 잡은 호텔입니다 . 특히 바닥이 카페트가 아니고 마루라서 만족합니다. 침구도 깨끗합니다.']
12,하버 호텔 제주 (Harbor Hotel Jeju),10.0,YUNHAN (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2021년 5월 | 1박,가족여행으로 좋은 숙소,['바닥이 온돌이라 깨끗하게 관리 되었고 위치가 공항과 멀지 않아서 좋았습니다 아이들 있는 가족 여행객들은 좋으듯 합니다']
13,하버 호텔 제주 (Harbor Hotel Jeju),10.0,JINSUNG (대한민국),출장 여행객,스탠다드 트윈,2018년 12월 | 1박,가성비 좋은 비즈니스호텔,['난방도 잘 되고 소음을 거의 못 느꼈습니다. 침구도 깨끗하고 방도 넓어서 편하게 잘 있다가 갑니다.']
14,하버 호텔 제주 (Harbor Hotel Jeju),9.6,lim (대한민국),청소년 동반 가족 여행객,스탠다드 트윈,2019년 10월 | 1박,딸과의 첫 번째 배낭여행 중 첫 숙소...좋았습니다~~^^,"['고3 딸과 배낭여행을 하였어요. 공항에서 버스를 이용하여 호텔까지 이동하였는데 어렵지 않게 찾을 수 있었고, 가격대비 만족합니다. 18번 올레길과 가까워 쉽게 18번올레길을 찾아 17번올레길 까지 걸으며 제주 해안길을 경험할 수 있었습니다~']"
15,하버 호텔 제주 (Harbor Hotel Jeju),10.0,ShinChong (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2021년 5월 | 1박,가성비갑,['저녁에 도착이라 가까운곳 검색하다 예약했는데 위치 가격 위생 모두 만족해요. 3일뒤에 다시 예약 잡았어요. 👍']
16,하버 호텔 제주 (Harbor Hotel Jeju),9.6,EUN (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2020년 8월 | 1박,너무 좋아요,['공항과 좀 먼것을 제외하고는 아주 좋은 숙소에요. 추천합니다. 직원분도 굉장히 친절했어요^^ 오이 맛사지할려니깐 칼과 도마도 빌려주셨어요^^ 감사해요^^']
17,하버 호텔 제주 (Harbor Hotel Jeju),9.2,GeunHye,나홀로 여행객,스탠다드 트윈,2019년 7월 | 2박,조식까지 만족합니다.,"['가격이 일단 정말 만족스러웠습니다. 방음이나 위생상태도 좋았습니다. 2박을 머물렀는데 첫날쓰고 나니까 청소도 깨끗하게 해주셨더라구요. 그리고 조식도 가격대비 만족입니다. 빵도 맛이나 상태가 좋았고, 과일도 괜찮았고 시리얼도 좋았습니다. 그리고 바로 앞은 아니여도 가까운곳에 편의점도 있어서 이용하기 좋았습니다.']"
18,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Hyejoo (대한민국),나홀로 여행객,스탠다드 트윈,2020년 8월 | 3박,한주훈 요가 근처이고 공항 근처라 좋아요,['처음에 2-3층을 예약했는데 옆건물과 너무 가까워 추가금 내고 윗층으로 업그레이드했어요. 프론트에 계신 분들도 친절하시고 청소도 깔끔하게 잘 해주세요. 방음이 조금 안 되긴 하지만 저렴한 가격에 오션뷰고 편하게 지내다 왔습니다. 옆에 편의점도 있어 이용하기 좋아요.']
19,하버 호텔 제주 (Harbor Hotel Jeju),10.0,NANA (대한민국),커플/2인 여행객,스탠다드 트윈,2022년 4월 | 1박,시장이랑 엄청 가깝고 룸컨디션도 좋네요,['전반적으로 가성비 갑 숙소라고 할수있습니다']
20,하버 호텔 제주 (Harbor Hotel Jeju),9.6,Ha (대한민국),나홀로 여행객,스탠다드 트윈,2019년 10월 | 1박,직원분들 친절하셔요,['동문시장 가려고 카카오택시 켰는데 아무도 안왔는데 프론트 직원분이 택시 불러주셨어요 짱 친절']
21,하버 호텔 제주 (Harbor Hotel Jeju),9.6,soonheum (대한민국),그룹 여행객,스탠다드 트윈,2019년 7월 | 1박,가격대비 좋았습니다.,['공항가기 전 마지막 밤을 보냈는데요~ 생각했던 것 보다 깨끗하고 좋았어요 다만 냉장고가 너무 작아서 음료 몇개 밖에는 넣을 수가 없어서 음식을 보관하기가 어려웠네요']
22,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Kim (대한민국),나홀로 여행객,스탠다드 트윈,2020년 1월 | 1박,진짜 만족스러웠습니다,['숙소도 업그레이드 해주시고 방상태도 청결했습니다']
23,하버 호텔 제주 (Harbor Hotel Jeju),10.0,sejin (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2022년 6월 | 1박,가성비 굿,['공항과 가깝고 가격대비 좋네요. 다만 방에서 계속 담배냄새가..']
24,하버 호텔 제주 (Harbor Hotel Jeju),9.6,hyeonsuk (대한민국),청소년 동반 가족 여행객,당일 랜덤 배정(조식 불포함 / 체크인시 배정은 특정 객실과 베드타입을 보장하지 않습니다),2022년 2월 | 1박,따뜻하고 좋아요,['저렴한 가격에 이용이 편리합니다. 따뜻하고 깨끗해요. 주변에 올레길과 오름이 있어서 좋아요. 호텔 주변에 식당들이 있어서 이용하기 편리합니다']
25,하버 호텔 제주 (Harbor Hotel Jeju),9.6,HYUN (대한민국),출장 여행객,스탠다드 트윈,2021년 5월 | 1박,가성비 좋은 숙소,['숙소가 깨끗하고 조용해 좋았습니다. 화장실도 넓고 청결했습니다. 가성비 좋은 호텔이었습니다. 다음에 또 이용하고 싶습니다.']
26,하버 호텔 제주 (Harbor Hotel Jeju),10.0,(대한민국),청소년 동반 가족 여행객,스탠다드 트윈,2021년 7월 | 1박,가성비 호텔,['말그대로 가성비 좋고 깔끔한 호텔이였습니다']
27,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Jung (대한민국),나홀로 여행객,디럭스 트윈,2021년 11월 | 2박,좋습니다.,"['숙소도 깨끗하고, 조식도 간단하지만 괜찮습니다.']"
28,하버 호텔 제주 (Harbor Hotel Jeju),9.6,kyungmi (대한민국),나홀로 여행객,스탠다드 트윈,2020년 8월 | 1박,깨끗하고 친절해요,['작지만 있을 건 다있는 엄청 청결하고 친절한 미니호텔']
29,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Kyoungho (대한민국),청소년 동반 가족 여행객,디럭스 트윈 (부분 씨뷰),2022년 1월 | 1박,마안조옥하암,"['깔끔하고 조식,위치 써비수 최고임돠']"
30,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Jae (대한민국),커플/2인 여행객,스탠다드 트윈,2021년 9월 | 1박,추자도 여행 전,['비장한 마음으로 잘자고 갑니다.']
31,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Mingu (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2022년 6월 | 1박,가성비 좋아요,['제주여객항 보이고 가성비 좋아요']
32,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Moon (대한민국),나홀로 여행객,디럭스 더블 (오션뷰),2022년 4월 | 1박,최고,['위치는 좀 외졌지만 그 덕에 뷰가 좋았어요. 청결 위생 구조 경치 응대 등 거의 모든 면에서 완벽했습니다. 방 안에 파우더리한 방향제 냄새 빼고요... 그 진한 냄새만 아니었어도 별 만점인데. 자는 내내 고통스러웠어요 아니 사실상 못 잤습니다. 도대체 누가 낸 생각인가요 방향제를 뿌려두는 건...']
33,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Jong (대한민국),그룹 여행객,스탠다드 트윈,2022년 3월 | 2박,깔끔하면서도 난방이 잘되는 곳,['조식이 맘에 드는 깔끔한곳. 사라봉이 바로 앞에 있어 아침 운동과 산책에도 좋은 곳. 직원이 친절하면서 숙소 상태도 갈끔하여 만족 대만족']
34,하버 호텔 제주 (Harbor Hotel Jeju),9.6,Mi (대한민국),청소년 동반 가족 여행객,스탠다드 트윈,2021년 5월 | 4박,위치 너무 좋아요,['성산일출가깝고 자차 버스 가족 나홀로 다 좋네요 단 아기있는 여행은 방이 좁으니 참고하세요']
35,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Jiyeon (대한민국),청소년 동반 가족 여행객,디럭스 트윈 (부분 씨뷰),2021년 12월 | 1박,최고,['객실 깨끗하고 오션뷰 좋아요 다만 조식은 좀 부실하지만 나쁘진 않아요 주차 공간도 괜찮았어요. 화장실이 깔끔해서 좋았고 직원분은 친절한듯 아닌듯 그 사이인 것 같아요.']
36,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Hyosun (대한민국),나홀로 여행객,스탠다드 트윈,2020년 11월 | 1박,좋았어요,['깔끔하고 공항이랑 가깝고 좋았어요']
37,하버 호텔 제주 (Harbor Hotel Jeju),8.8,mikyoung (대한민국),나홀로 여행객,디럭스 더블 (오션뷰),2022년 2월 | 2박,청결하고 맘에 들었어요~,"['올 2월에 방문하고 후기가 늦었네요~^^: 제주에서 축구선수 아들 경기가 있어 혼자 2박 했는데 옆에 식당과 편의점이 있어 편했고 공항과도 거리가 좋았어요~ 근처 해안도로 따라 쭉~가면 맛집이 많고, 예쁜 까페도 많아요~ 무지개 해안도로도 가까워요~ 오픈형 개인 테라스가 있어 잠시 바람쐬기도 좋았습니다~ 방에서 바다와 항구가 보이고 10분에 한번씩 비행기가 지나가는데 소음도 없고 멍하니 바라보면 힐링 되었습니다~아들 축구경기 핑계로 혼자 제주도 여행도 다녀오고 숙소도 맘에 들어 힐링시간이었어요~ 다음에 가게되면 또 이용할 생각입니다~']"
38,하버 호텔 제주 (Harbor Hotel Jeju),10.0,DOHYUN (대한민국),출장 여행객,스탠다드 트윈,2020년 8월 | 1박,잘 이용하였습니다.,['잘 이용하였습니다.']
39,하버 호텔 제주 (Harbor Hotel Jeju),9.2,so (대한민국),그룹 여행객,디럭스 트윈,2019년 4월 | 1박,조식포함된 비지니스호텔,['제주날씨 변덕으로 추운 4월 뜻밖의 온돌~덕분에 따뜻~~3박했는데 매번 똑같은 메뉴(아침식사로는 적당합니다) ~~길건너 항아리식당 청국장 맛있습니다']
40,하버 호텔 제주 (Harbor Hotel Jeju),9.6,SEUNGHEE,커플/2인 여행객,디럭스 트윈,2019년 7월 | 1박,좋았습니다,['깔끔하고 좋은 객실상태 다음에 와도 여기 묵을 것 같아요 :)']
41,하버 호텔 제주 (Harbor Hotel Jeju),10.0,Choi (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2022년 1월 | 1박,잘쉬다갑니다,['잘쉬다갑니다']
42,하버 호텔 제주 (Harbor Hotel Jeju),9.6,JOONGOH (대한민국),나홀로 여행객,스탠다드 트윈,2019년 4월 | 1박,가성비 좋은.,['가성비 좋은 호텔입니다. 조식도 먹을만 합니다.']
43,하버 호텔 제주 (Harbor Hotel Jeju),10.0,MINJEONG (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈 (부분 씨뷰),2021년 6월 | 2박,가설비 최고,['위치도 최고']
44,하버 호텔 제주 (Harbor Hotel Jeju),8.8,Hyesu (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2019년 10월 | 1박,추천.,['모텔과 호텔 사이는 맞지만 위치도 좋고 무엇보다 청결상태 너무 좋습니다. 방도 크고 제주항구도 보여서 최고였어요. 직원분들도 다 친절하니 좋았습니다. 가격대비 대만족합니다.']
45,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Eunkyung (대한민국),나홀로 여행객,스탠다드 트윈,2019년 11월 | 1박,공항가기 전 들르기 좋은 숙소였습니다!,['숙소도 쾌적하고 위치도 공항가기전 좋은편이고 중문시장가기도 편하고 좋습니당!!']
46,하버 호텔 제주 (Harbor Hotel Jeju),9.2,jin (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2022년 5월 | 2박,가성비최고,['침대스프링이 꿀렁꿀렁 근데 크게 개의치않으면 룸컨디션도좋고 조식도있고 가성비있게 머물기좋아요']
47,하버 호텔 제주 (Harbor Hotel Jeju),9.6,Seongsig (대한민국),나홀로 여행객,스탠다드 트윈,2022년 5월 | 1박,좋아요,['추자도 가려고 숙박했는데 좋아요']
48,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Kyungjin (대한민국),나홀로 여행객,디럭스 트윈,2022년 8월 | 1박,"청결, 위치, 친절~",['청결하고 위치좋고 친절하였답니다']
49,하버 호텔 제주 (Harbor Hotel Jeju),8.8,SUN (대한민국),나홀로 여행객,디럭스 트윈,2022년 4월 | 2박,교통이 편리하고 조용한 호텔,['공항 및 관관지와 연결 버스를 타기가 좋아 차를 렌트하지 않는 개인 여행자가 이용하기 좋은 호텔로 주변이 조용하고 깨끗합니다. 부두쪽은 뷰도 아주 좋아요. 침구도 깨끗하고 상태 매우 좋습니다.']
50,하버 호텔 제주 (Harbor Hotel Jeju),8.8,byngwook (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2020년 2월 | 1박,주차장과 조식의 아쉬움..,['위치 가성비 친절한 직원 최고였습니다. 다만 주차와 조식 먹는 공간이 아쉬움이 남습니다...']
51,하버 호텔 제주 (Harbor Hotel Jeju),8.0,ko (대한민국),나홀로 여행객,디럭스 더블 (오션뷰),2021년 9월 | 2박,뷰가 좋은 호텔,['방 위생이나 구조도 좋았지만 뷰가 너무 대박이었어요. 노을질 때나 야경이나 다 이뻐서 사진 많이 찍었습니다. 에어컨은 틀면 춥고 끄면 후덥지근해서 껐다켰다 했던 거 같아요. 낮에는 거의 창문 열어서 항구소리 들었습니다. 체크인아웃 때 직원분 너무 친절하셨어요!! 화장실도 그럭저럭 괜찮았네요. 다만 제가 묵었던 객실 샤워부스에 그... 물이 나오는 곳을 조절하는 레버? 같은 게 고장이 났는 지 고정이 잘 되지않더라구요ㅠㅠㅠㅠ 샤워기 쓰고 싶은데 위에서 물이 나올 때도 있고 그래서 한 손으로 잡고 한 손으로 샤워기 쓰기도 했어요. 나중엔 요령이 생겨서 고정시키고 사용했습니다. 코시국으로 답답해서 룸 안에만 있었는데 너무 편하게 쉬다왔어요ㅋㅋㅋㅋㅋ']
52,하버 호텔 제주 (Harbor Hotel Jeju),8.4,sora (대한민국),나홀로 여행객,스탠다드 트윈,2019년 10월 | 1박,가성비 좋아요,['주차장에 차가 가득일정도로 투숙객이많고 카운터 보시는분이 친절하세요 늦은시간 체크인 하게되었는데도 친절하게 안내해주셨고 숙소도 깨끗했어요 조식은 못먹었지만 깔끔하게 나오는것 같았어요']
53,하버 호텔 제주 (Harbor Hotel Jeju),8.8,수빈 (대한민국),커플/2인 여행객,디럭스 트윈,2019년 5월 | 1박,깔끔했어요,['다음날 추자도 들어가기 위해 제주항 근처로 예약했는데 깔끔했어요 조식도 주는줄 알았는데 아니었던건 좀 아쉽지만 바로 옆건물에 편의점있어요']
54,하버 호텔 제주 (Harbor Hotel Jeju),8.8,Lee (대한민국),나홀로 여행객,스탠다드 트윈,2022년 8월 | 1박,제주항에 가시려는 분께 추천!,['저는 새벽에 도착하시는 부모님을 모시러 가려고 잡았습니다. 항과 가까워서 좋습니다. 아쉬운건 주차문제인 것 같군요.']
55,하버 호텔 제주 (Harbor Hotel Jeju),8.8,SANGHEE (대한민국),청소년 동반 가족 여행객,디럭스 더블 (오션뷰),2020년 10월 | 1박,양호,['비용추가후 오션뷰이용함. 언덕위라 뷰가 좋음. 직원친절. 조식은 야채위주']
56,하버 호텔 제주 (Harbor Hotel Jeju),8.8,Dongho (대한민국),출장 여행객,스탠다드 트윈,2021년 9월 | 1박,제주 출장2,"['목적지 위치와 지근 거리에 있어 편리합니다. 숙소가 화려하지는 않지만, 조용하고 안정적입니다. 직원 태도도 매우 밝고 좋았습니다.']"
57,하버 호텔 제주 (Harbor Hotel Jeju),8.0,Park (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2020년 11월 | 1박,가성비 뷰 좋아요 깨끗합니다 ,"['일단 조식이 가짓수는 적지만 알차요 브로콜리스프 샐러드 맛있고 가볍게 샐러드에 빵 콘프로스트 스프 먹기 좋습니다 이게 싫으신분들 근처에 금항아리식당 맛있어요 체크아웃하고 청국장 고기국수 물만두 먹었는데 청국장 완전 맛나요 사장님들도 엄청 친절하시고 장점 : 깨끗, 뷰 좋음(오션뷰) , 산책로 좋음 조식 가격대비 좋음 , 편의점 가깝고 근처 맛집 있음 단점 : 공항에서 7~8천원택시비 , 근처에 밤에는 고깃집 2~3개랑 편의점 끝!']"
58,하버 호텔 제주 (Harbor Hotel Jeju),8.8,yuna (대한민국),유아/아동 동반 가족 여행객,스탠다드 트윈,2021년 5월 | 1박,가격대비 좋아여~,['가족여행으로 다녀왔는데 나무 괜찮았어요~~ 룸 컨디션도 좋았고 아침에 먹은 조식도 너무 마음에 들었답니다~']
59,하버 호텔 제주 (Harbor Hotel Jeju),8.4,NA (대한민국),출장 여행객,디럭스 더블 (오션뷰),2020년 11월 | 1박,전반적으로 만족합니다.,['카운터 직원분도 친절했고 간단하지만 조식도 좋았고 무엇보다 바다전망이 맘에 들었습니다. 다음에도 이용할 의사 있습니다.']
60,하버 호텔 제주 (Harbor Hotel Jeju),8.8,Jung (대한민국),청소년 동반 가족 여행객,디럭스 트윈,2021년 8월 | 1박,우수,['저녁늦게 제주도착으로 시내로 하루 묵을예정으로 정한곳인데.. 나름 좋았던거같아요']
61,하버 호텔 제주 (Harbor Hotel Jeju),9.2,Kyungsun (대한민국),유아/아동 동반 가족 여행객,스탠다드 트윈,2019년 12월 | 1박,좋아요 ,['칫솔 없다는게 단점']
62,하버 호텔 제주 (Harbor Hotel Jeju),8.4,CHAN (대한민국),나홀로 여행객,스탠다드 트윈,2022년 1월 | 1박,여객터미날 지근거리,['여객터미날 지근거리라 위치가 편리하고 가격도 저렴하고 침구도 깨끗합니다. 다만 아침식사는 개선이 필요합니다.']
63,하버 호텔 제주 (Harbor Hotel Jeju),8.0,JUN (대한민국),출장 여행객,디럭스 트윈,2021년 12월 | 5박,가성비 굿,['너무 큰 기대는 안 하는게 좋지만 가성비 좋고 우리 나쁘지 않음 머리 긴 여자분 엄청 친절함 가성비를 바란다면 여기로 오삼']
64,하버 호텔 제주 (Harbor Hotel Jeju),8.4,HYEJIN (대한민국),그룹 여행객,디럭스 트윈,2022년 3월 | 2박,깨긋하고 좋네요,['제주시내 인 줄 알았는데 바다 근처라서 뷰도 괜찮고 조식도 맛잇네요']
65,하버 호텔 제주 (Harbor Hotel Jeju),8.0,Ki (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2022년 4월 | 1박,제주항 이용객을 위해 특화된...,"['추자도 가기 위해 아침에 배를 타기 위해서 투숙했습니다. 살살 걸어서 제주항 연안여객터미널에 갈 수 있을 정도로 위치는 좋습니다. 방, 욕실도 작지 않았구요. 배를 타려면 여기로 가는 게 최선일 듯...']"
66,하버 호텔 제주 (Harbor Hotel Jeju),8.0,Sua (대한민국),나홀로 여행객,스탠다드 트윈,2019년 10월 | 1박,제주항이랑 가까워요.,['추자도 들어가려고 제주항에 걸어서 갈 수 있고 제주공항도 버스 타고 금방이어서 위치 때문에 선택한 숙소였는데 깨끗하고 가성비 괜찮았어요. 조식은 큰 기대는 그냥 간단히 요기할 정도?']
67,하버 호텔 제주 (Harbor Hotel Jeju),8.4,cho (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈 (부분 씨뷰),2022년 8월 | 1박,깔끔하고 조용,['항구가 바로 보이고요 동부시장 버스한번에 가고 좋았어요']
68,하버 호텔 제주 (Harbor Hotel Jeju),7.6,KyoungOk (대한민국),나홀로 여행객,스탠다드 트윈,2019년 10월 | 1박,매우 좋음,"['사라봉 산책 다녀오기 좋고, 직원들은 친절했습니다. 그런데 저녁-밤 시간은 괜찮았는데 아침이 되니 복도에서 나는 소리가 그대로 들려와서... 방음은 좀 약한것 같네요. 전체적으로 가격대비 괜찮은거 같습니다.']"
69,하버 호텔 제주 (Harbor Hotel Jeju),7.5,JEONG (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2020년 6월 | 1박,가격대비 좋습니다.,"['싼가격에 공항과 시장과 가까운 호텔입니다. 번화가가 아니라서 밤엔 조용하구요, 방은 좀 좁은편이고 복도방음은 썩 좋지 않으나, 프론트 친절하고 조식도 먹을만했습니다. 조용히 잘 묵고 왔습니다.']"
70,하버 호텔 제주 (Harbor Hotel Jeju),8.4,Jin (대한민국),출장 여행객,디럭스 더블 (오션뷰),2022년 3월 | 2박,저주갈때마다 이용,['모든조건적이면에서 좋습니다']
71,하버 호텔 제주 (Harbor Hotel Jeju),8.4,HANA (대한민국),유아/아동 동반 가족 여행객,디럭스 트윈,2021년 9월 | 1박,공항근처 쉬기좋음,['밤늦게 도착해서 잘자고 감']
72,하버 호텔 제주 (Harbor Hotel Jeju),8.4,Soo (대한민국),커플/2인 여행객,스탠다드 트윈,2021년 6월 | 2박,가성비 갑,['위치는 조금아쉽지만 가성비 좋네요!']
73,하버 호텔 제주 (Harbor Hotel Jeju),8.0,MIJUNG (대한민국),출장 여행객,스탠다드 트윈,2019년 4월 | 1박,이용후기,['공항에서 그리 멀지 않아 좋고 주변에 올레길이 있어 아침일찍 산책하기에 좋습니다.']
74,하버 호텔 제주 (Harbor Hotel Jeju),7.6,EUNBI (대한민국),커플/2인 여행객,스탠다드 트윈,2021년 8월 | 2박,뷰의 소중함을 깨달음,['정말 바로 코옆에 다른 호텔이 붙어있어 커튼을 열고 있을 수가 없음... 정말 다 보임...옆에 호텔....뷰의 중요성을 깨달음.... 그거빼고는 다 편리했습니다.']
75,하버 호텔 제주 (Harbor Hotel Jeju),8.0,Sunhwa (대한민국),청소년 동반 가족 여행객,디럭스 트윈,2021년 7월 | 1박,여객터미널과 가장 가까운 최적숙소,['저렴하고 깨끗합니다']
76,하버 호텔 제주 (Harbor Hotel Jeju),7.6,Seonghyeon (대한민국),커플/2인 여행객,디럭스 더블 (오션뷰),2020년 10월 | 3박,위생이나 직원은 친절합니다 ,['다만 주위식당이 별로 없다는게 좀 아쉽네요']
